City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Belmonte,BR,77.0,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
434,Westport,US,60.01,overcast clouds,41.1415,-73.3579,The Westport Inn
437,Palembang,ID,72.46,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
439,Nkhata Bay,MW,70.68,light rain,-11.6066,34.2907,Mayoka Village
441,Ancud,CL,57.2,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
443,Beni,CD,67.12,scattered clouds,0.5,29.4667,Albertine hotel
444,Makokou,GA,71.53,overcast clouds,0.5738,12.8642,WAMY RESIDENCE HOTEL
445,Guerrero Negro,MX,68.86,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
448,Komsomolskiy,UZ,50.0,clear sky,40.4272,71.7189,Ikathouse
449,Nelson Bay,AU,55.0,few clouds,-32.7167,152.15,Mantra Nelson Bay
450,Mombasa,KE,74.5,moderate rain,-4.0547,39.6636,New Palm Tree Hotel
451,Rocha,UY,61.23,clear sky,-34.4833,-54.3333,Beleza Pura B&B
455,Dunmore Town,BS,78.84,overcast clouds,25.5,-76.65,Coral Sands Hotel
456,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
459,Chabahar,IR,79.84,overcast clouds,25.2919,60.643,هتل گدروشیا
461,San Policarpo,PH,75.0,heavy intensity rain,12.1791,125.5072,JM Lodge
464,Requena,ES,52.0,few clouds,39.4883,-1.1004,Hotel Avenida
468,Praia,CV,69.8,few clouds,14.9215,-23.5087,LT Aparthotel
469,Palu,ID,74.82,moderate rain,-0.8917,119.8707,Hotel Santika Palu
471,Monte Patria,CL,76.69,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
472,Mount Isa,AU,66.2,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
473,Carutapera,BR,75.83,light rain,-1.195,-46.02,Lidera
474,Juba,SS,75.69,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
475,Wembley,AU,57.99,clear sky,-31.9333,115.8,Quest on Rheola
478,Mingaora,PK,52.86,clear sky,34.7758,72.3625,Burj Al Swat
479,Persianovskiy,RU,51.01,scattered clouds,47.5137,40.1075,Otel' Dinastiya
480,Bud,US,62.01,overcast clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
481,Juneau,US,66.2,clear sky,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
482,Labuhan,ID,76.5,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
483,Carlagan,PH,78.13,overcast clouds,14.975,122.0456,Cabatagan Island
485,Sawtell,AU,59.0,clear sky,-30.3833,153.1,Island Beach House Sawtell
487,Tignere,CM,71.26,broken clouds,7.3667,12.65,SADECK
489,Le Pradet,FR,51.01,clear sky,43.1066,6.0172,Hôtel Kyriad Toulon La Garde
490,Vermillion,US,64.99,broken clouds,42.7794,-96.9292,Holiday Inn Express & Suites Vermillion
493,Kampong Thum,KH,77.4,overcast clouds,12.7111,104.8887,Sambor Village Hotel
495,Itaituba,BR,78.8,few clouds,-4.2761,-55.9836,Hotel Campos
499,Tukrah,LY,62.92,overcast clouds,32.5341,20.5791,Lokta restaurant
502,Kaeo,NZ,63.0,broken clouds,-35.1,173.7833,Bushido Lodge
506,Longyan,CN,60.71,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
508,Kashan,IR,73.53,clear sky,33.9831,51.4364,Manouchehri Traditional House
513,Pemangkat,ID,76.53,broken clouds,1.1667,108.9667,Ramah Kost KITA
515,Altamont,US,73.0,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
517,Minab,IR,69.8,broken clouds,27.1467,57.0801,Bam campground
518,Santiago Del Estero,AR,78.75,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
520,Bundaberg,AU,60.8,clear sky,-24.85,152.35,Takalvan Motel
521,Coos Bay,US,72.0,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
522,Dali,CN,50.79,clear sky,25.7,100.1833,Dali Travelling With Hostel
524,Tuscaloosa,US,71.6,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
525,El Alto,PE,72.01,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
526,Jasper,US,60.8,broken clouds,37.2001,-94.3502,Guest House Motel
528,Ucluelet,CA,64.99,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
531,Yenagoa,NG,76.46,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
534,Grand Gaube,MU,75.99,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
536,Grand-Santi,GF,73.45,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
537,Tuatapere,NZ,57.0,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
539,Porto Santo,PT,62.6,few clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
542,Saint Anthony,US,64.0,overcast clouds,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
543,Florianopolis,BR,73.99,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
546,Springdale,US,60.8,broken clouds,36.1867,-94.1288,Springdale Inn
547,Victor Harbor,AU,59.0,scattered clouds,-35.5667,138.6167,McCracken Country Club
549,Wajima,JP,52.03,few clouds,37.4,136.9,Wajiima Onsen Yashio
552,Mahajanga,MG,78.8,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
553,Kroya,ID,76.12,broken clouds,-7.6331,109.2461,RUSTANTO Fam
554,Azul,AR,69.01,overcast clouds,-36.777,-59.8585,Cabañas Dulcinea
555,Saravena,CO,79.77,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
557,Awbari,LY,75.38,overcast clouds,26.5921,12.7805,فندق أوباري
561,Kula,TR,57.94,light rain,38.5473,28.6498,Anemon Kula Hotel
562,Saint-Pierre,RE,75.2,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
567,Amherst,US,54.0,few clouds,41.3978,-82.2224,Days Inn by Wyndham Amherst
