City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Narsaq,GL,60.9167,-46.05,28.4,34,90,5.75,overcast clouds
184,Nichinan,JP,31.6,131.3667,57.2,38,20,10.36,few clouds
185,Marsaxlokk,MT,35.8419,14.5431,55.99,76,20,9.22,few clouds
186,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.35,99,100,2.98,light rain
187,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,40,11.5,light rain
188,Mount Gambier,AU,-37.8333,140.7667,57.2,100,90,9.22,overcast clouds
189,Moses Lake,US,47.1301,-119.2781,86.0,8,1,17.27,clear sky
190,Katubao,PH,5.8892,124.8294,81.52,78,100,13.76,moderate rain
191,Bulungu,CD,-4.55,18.6,72.55,91,100,2.71,overcast clouds
192,Gouria,GR,38.4667,21.2667,44.6,93,0,3.58,clear sky
193,Copiapo,CL,-27.3667,-70.3333,57.2,88,90,6.91,overcast clouds
194,Sheridan,US,44.8333,-106.9173,53.6,47,90,5.75,overcast clouds
195,Norman Wells,CA,65.282,-126.8329,48.2,43,1,9.22,clear sky
196,Kamenka,RU,51.3223,42.7678,48.67,67,77,5.84,broken clouds
197,Dzitas,MX,20.85,-88.5167,77.32,85,66,2.93,broken clouds
198,Port Macquarie,AU,-31.4333,152.9167,70.0,63,1,1.99,heavy intensity rain
199,Geraldton,AU,-28.7667,114.6,60.8,67,0,9.22,clear sky
200,Channel-Port Aux Basques,CA,47.5702,-59.1367,37.15,97,100,19.62,overcast clouds
201,Grand Gaube,MU,-20.0064,57.6608,78.01,84,78,4.0,broken clouds
202,Macia,MZ,-25.0269,33.0989,59.5,83,13,4.7,few clouds
203,Pendra,IN,22.7667,81.95,71.73,26,0,4.56,clear sky
204,Chipinge,ZW,-20.1883,32.6236,51.39,94,21,3.71,few clouds
205,Alyangula,AU,-13.8483,136.4192,82.4,69,77,5.75,broken clouds
206,Rawson,AR,-43.3002,-65.1023,66.4,69,100,13.82,overcast clouds
207,Bintulu,MY,3.1667,113.0333,75.2,88,20,4.61,few clouds
208,Nampula,MZ,-15.1165,39.2666,64.4,94,40,8.05,scattered clouds
209,Hirara,JP,24.8,125.2833,68.0,68,75,13.8,broken clouds
210,Wattegama,LK,6.7989,81.4808,72.88,88,97,2.21,overcast clouds
211,Sakakah,SA,29.9697,40.2064,73.4,20,0,4.61,clear sky
212,Saint-Augustin,CA,51.226,-58.6502,35.96,96,100,23.31,overcast clouds
213,Priverno,IT,41.4691,13.1856,45.0,85,98,3.0,overcast clouds
214,Leningradskiy,RU,69.3833,178.4167,33.04,65,39,7.65,scattered clouds
215,Nome,US,64.5011,-165.4064,42.8,52,75,8.05,broken clouds
216,Avarua,CK,-21.2078,-159.775,84.2,74,75,17.27,light rain
217,Birjand,IR,32.8663,59.2211,55.4,30,40,6.91,scattered clouds
218,Kahului,US,20.8947,-156.47,80.6,69,40,18.41,scattered clouds
219,Kulgam,IN,33.65,75.0167,43.21,76,1,1.92,clear sky
220,Dorado,PR,18.4588,-66.2677,84.2,61,40,11.5,scattered clouds
221,Mombetsu,JP,44.3525,143.3525,46.0,79,100,15.99,overcast clouds
222,Moerai,PF,-22.4333,-151.3333,78.12,68,1,9.19,clear sky
223,Am Timan,TD,11.0297,20.2827,88.97,10,78,1.54,broken clouds
224,Steinbach,DE,50.1667,8.5667,46.4,93,90,3.44,light rain
225,Shimoda,JP,34.6667,138.95,60.8,48,0,3.44,clear sky
226,Avera,US,33.194,-82.5271,69.8,46,1,3.44,clear sky
227,La Grande,US,45.3246,-118.0877,72.0,15,1,11.18,clear sky
228,Arua,UG,3.0201,30.9111,65.75,80,71,3.96,broken clouds
229,Kaitangata,NZ,-46.2817,169.8464,63.19,54,87,9.1,overcast clouds
230,Vire,FR,48.9167,-0.8333,37.4,81,0,1.14,clear sky
231,Kot Samaba,PK,28.5522,70.4684,76.3,40,32,8.97,scattered clouds
232,Khani,GE,41.9563,42.9566,60.8,88,90,5.75,light rain
233,Hasaki,JP,35.7333,140.8333,60.01,33,0,18.41,clear sky
234,Hays,US,30.0502,-98.0336,66.99,45,76,8.86,broken clouds
235,Nakatsu,JP,33.5981,131.1883,53.6,82,20,3.44,few clouds
236,Hit,IQ,33.6416,42.8251,79.47,20,43,9.98,scattered clouds
237,Adrar,MR,20.5022,-10.0711,77.76,10,41,7.38,scattered clouds
238,Walvis Bay,NA,-22.9575,14.5053,86.0,41,45,8.99,scattered clouds
239,Lucapa,AO,-8.4192,20.7447,66.27,94,96,2.84,overcast clouds
240,Torbay,CA,47.6666,-52.7314,36.0,100,90,10.36,light rain
241,Port Hedland,AU,-20.3167,118.5667,73.4,56,0,6.91,clear sky
242,Campbell River,CA,50.0163,-125.2446,77.0,22,1,5.75,clear sky
243,Maumere,ID,-8.6199,122.2111,81.91,69,91,7.07,overcast clouds
244,Lavrentiya,RU,65.5833,-171.0,30.78,88,95,5.23,overcast clouds
245,Saint-Paul,RE,-21.0096,55.2707,75.2,78,90,8.05,light rain
246,Provideniya,RU,64.3833,-173.3,30.2,69,0,4.47,clear sky
247,Alofi,NU,-19.0595,-169.9187,80.6,78,14,8.05,few clouds
248,Nikolskoye,RU,59.7035,30.7861,44.6,57,0,8.95,clear sky
249,Emba,KZ,48.8264,58.1442,53.87,85,100,8.88,overcast clouds
250,Merauke,ID,-8.4667,140.3333,81.01,81,87,8.52,overcast clouds
251,Odesskoye,RU,54.2111,72.9651,20.41,53,13,15.75,few clouds
252,Vila Velha,BR,-20.3297,-40.2925,77.0,83,20,4.61,few clouds
253,Asau,RO,46.4333,26.4,41.0,67,100,1.63,overcast clouds
254,Cururupu,BR,-1.8283,-44.8683,74.59,97,90,2.89,overcast clouds
255,Biak,ID,-0.9131,122.8766,75.47,86,100,7.07,overcast clouds
256,Raudeberg,NO,61.9875,5.1352,46.99,54,17,8.88,few clouds
257,Ewa Beach,US,21.3156,-158.0072,84.2,42,1,6.91,clear sky
258,Le Creusot,FR,46.8071,4.4163,42.8,75,0,6.91,clear sky
259,Chuy,UY,-33.6971,-53.4616,62.8,77,1,7.34,clear sky
260,Yerbogachen,RU,61.2767,108.0108,20.52,78,90,7.56,overcast clouds
261,Samarai,PG,-10.6167,150.6667,84.38,73,98,12.46,overcast clouds
262,Chernyshevskiy,RU,63.0128,112.4714,9.45,91,87,1.54,overcast clouds
263,Ibate,BR,-21.9547,-47.9967,68.0,100,0,1.14,clear sky
264,Cabo San Lucas,MX,22.8909,-109.9124,77.0,53,1,9.22,clear sky
265,Vostok,RU,46.4856,135.8833,43.36,60,41,15.19,scattered clouds
266,Pisco,PE,-13.7,-76.2167,66.2,82,0,17.27,clear sky
267,Narrabri,AU,-30.3167,149.7833,64.99,72,0,4.61,clear sky
268,Beringovskiy,RU,63.05,179.3167,32.61,95,97,4.05,overcast clouds
269,Gobabis,NA,-22.45,18.9667,63.88,46,72,10.51,broken clouds
270,Esperance,AU,-33.8667,121.9,53.6,87,3,6.91,clear sky
271,Sigli,ID,5.3848,95.9609,78.13,80,94,5.75,overcast clouds
272,Nemuro,JP,43.3236,145.575,46.4,71,75,14.97,broken clouds
273,Ingham,US,42.6,-84.3833,55.4,35,75,6.91,broken clouds
274,Luderitz,NA,-26.6481,15.1594,73.83,46,22,4.97,few clouds
275,Airai,TL,-8.9266,125.4092,66.36,56,92,2.55,overcast clouds
276,Atar,MR,20.5169,-13.0499,80.38,14,63,6.26,broken clouds
277,Kabanjahe,ID,3.1001,98.4908,75.2,100,20,2.3,mist
278,Tasiilaq,GL,65.6145,-37.6368,17.6,67,0,4.61,clear sky
279,Namibe,AO,-15.1961,12.1522,81.28,69,2,1.57,clear sky
280,Okato,NZ,-39.2,173.8833,60.01,72,98,10.0,overcast clouds
281,Biri,PH,12.6833,124.3636,76.24,87,100,36.66,heavy intensity rain
282,Svetlyy,RU,54.675,20.1347,41.0,87,0,2.24,clear sky
283,Codrington,AU,-38.2667,141.9667,61.16,70,50,13.4,scattered clouds
284,Atliaca,MX,17.65,-99.3667,80.19,24,0,10.25,clear sky
285,Juruti,BR,-2.1522,-56.0922,73.36,96,99,3.24,overcast clouds
286,Issoire,FR,45.55,3.25,46.4,57,0,3.02,clear sky
287,Chapleau,CA,47.8405,-83.4034,51.8,28,75,2.3,broken clouds
288,Kruisfontein,ZA,-34.0033,24.7314,67.01,44,2,12.93,clear sky
289,Uyemskiy,RU,64.4743,40.8524,24.8,80,0,2.57,clear sky
290,Kedrovyy,RU,56.1667,91.8167,32.0,93,75,6.71,snow
291,Port Blair,IN,11.6667,92.75,81.07,75,38,5.95,scattered clouds
292,West Plains,US,36.7281,-91.8524,51.8,58,1,10.36,clear sky
293,Cockburn Town,TC,21.4612,-71.1419,78.8,83,20,9.22,few clouds
294,Sayyan,YE,15.1718,44.3244,56.35,36,35,9.55,scattered clouds
295,Yatou,CN,37.15,122.3833,57.47,50,0,11.77,clear sky
296,Ambon,ID,-3.6954,128.1814,77.0,94,40,3.44,light rain
297,Angoche,MZ,-16.2325,39.9086,75.07,67,44,8.77,scattered clouds
298,Awbari,LY,26.5921,12.7805,71.6,29,64,13.76,broken clouds
299,Peleduy,RU,59.6289,112.7406,19.29,89,76,2.62,broken clouds
300,Broome,US,42.2506,-75.833,50.0,57,90,3.71,overcast clouds
301,Dire Dawa,ET,9.5931,41.8661,67.75,69,97,7.34,overcast clouds
302,Fort Walton Beach,US,30.4058,-86.6188,73.4,53,90,5.23,overcast clouds
303,Kericho,KE,-0.3677,35.2831,56.75,84,91,3.47,overcast clouds
304,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,20.71,few clouds
305,Namatanai,PG,-3.6667,152.4333,85.96,66,93,4.65,overcast clouds
306,Fortuna,US,40.5982,-124.1573,51.8,87,1,14.97,clear sky
307,Jaque,PA,7.5175,-78.1703,79.23,83,100,2.3,overcast clouds
308,Conde,BR,-7.2597,-34.9075,73.4,100,40,4.61,scattered clouds
309,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,42,0,6.91,clear sky
310,Nanortalik,GL,60.1432,-45.2371,28.98,58,17,9.69,few clouds
311,Mandalgovi,MN,45.7625,106.2708,41.49,50,89,10.92,overcast clouds
312,Sibu,MY,2.3,111.8167,75.2,88,40,3.44,scattered clouds
313,At-Bashi,KG,41.1702,75.8106,37.78,84,96,1.86,overcast clouds
314,Caravelas,BR,-17.7125,-39.2481,74.77,90,6,8.32,clear sky
315,Sarab,IR,38.6066,44.9883,62.31,46,49,5.57,scattered clouds
316,Tooele,US,40.5308,-112.2983,61.0,29,1,3.44,clear sky
317,Isiro,CD,2.7739,27.616,68.49,95,95,1.21,light rain
318,Manavgat,TR,36.7867,31.4431,77.0,63,0,6.91,clear sky
319,Ginir,ET,7.1333,40.7,57.43,91,100,3.31,moderate rain
320,Touros,BR,-5.1989,-35.4608,75.2,94,40,3.44,scattered clouds
321,Egvekinot,RU,66.3167,-179.1667,27.64,98,100,12.86,snow
322,Carlsbad,US,33.1581,-117.3506,82.0,18,1,19.57,clear sky
323,Marrakesh,MA,31.6315,-8.0083,64.4,59,0,3.44,clear sky
324,Perth,AU,-31.9333,115.8333,61.0,87,17,4.61,smoke
325,Kayes,ML,14.0,-11.0,96.21,17,68,6.62,broken clouds
326,Kenai,US,60.5544,-151.2583,57.2,49,90,10.36,overcast clouds
327,Marawi,PH,7.9986,124.2928,81.0,74,88,5.01,overcast clouds
328,Lambarene,GA,-0.7001,10.2406,76.37,94,100,1.92,light rain
329,Bondo,CD,3.8146,23.6866,71.53,90,100,1.83,overcast clouds
330,Severo-Yeniseyskiy,RU,60.3725,93.0408,10.6,94,100,5.91,snow
331,Nago,JP,26.5881,127.9761,68.0,64,1,12.66,clear sky
332,Hami,CN,42.8,93.45,58.08,29,45,14.09,scattered clouds
333,Minot,US,48.2325,-101.2963,35.6,51,90,16.11,overcast clouds
334,Micco,US,27.8806,-80.5003,84.0,55,97,1.99,overcast clouds
335,Rodeo,US,38.033,-122.2669,87.8,11,1,18.41,clear sky
336,Katangli,RU,51.7102,143.2326,31.01,98,100,23.94,snow
337,Nenjiang,CN,49.1833,125.2167,43.38,71,23,22.82,few clouds
338,La Huacana,MX,18.9667,-101.8167,78.8,17,1,11.5,clear sky
339,Wakkanai,JP,45.4094,141.6739,39.2,93,75,31.07,mist
340,Riyadh,SA,24.6877,46.7219,77.0,22,0,2.3,clear sky
341,Kununurra,AU,-15.7667,128.7333,77.0,41,57,3.44,broken clouds
342,Nagydorog,HU,46.6275,18.6556,44.01,94,100,3.0,overcast clouds
343,Buala,SB,-8.145,159.5921,85.19,69,62,4.76,light rain
344,Kirakira,SB,-10.4544,161.9205,85.73,70,53,7.09,broken clouds
345,Coihaique,CL,-45.5752,-72.0662,53.6,94,90,5.75,light rain
346,Kiunga,PG,-6.1219,141.2906,81.45,79,98,2.55,overcast clouds
347,Bara,NG,10.3744,10.7288,81.61,49,81,6.85,broken clouds
